shipment_id,product_id,supplier_id,order_date,expected_delivery,actual_delivery,quantity,status,shipping_method,tracking_number
SHP-001,PRD-001,SUP-101,2025-11-01,2025-11-15,2025-11-14,500,Delivered,Sea Freight,TRK-2025-0001
SHP-002,PRD-002,SUP-102,2025-11-05,2025-11-26,2025-11-28,20,Delivered,Air Freight,TRK-2025-0002
SHP-003,PRD-003,SUP-103,2025-11-10,2025-11-17,2025-11-17,3000,Delivered,Sea Freight,TRK-2025-0003
SHP-004,PRD-005,SUP-105,2025-11-01,2025-12-06,,15,In Transit,Sea Freight,TRK-2025-0004
SHP-005,PRD-006,SUP-106,2025-10-20,2025-12-01,2025-12-03,10,Delivered,Air Freight,TRK-2025-0005
SHP-006,PRD-008,SUP-108,2025-11-15,2025-12-03,2025-12-02,50,Delivered,Road Freight,TRK-2025-0006
SHP-007,PRD-010,SUP-110,2025-11-08,2025-12-08,,25,In Transit,Sea Freight,TRK-2025-0007
SHP-008,PRD-004,SUP-104,2025-11-20,2025-12-18,,15,Processing,Air Freight,TRK-2025-0008
SHP-009,PRD-011,SUP-111,2025-11-25,2025-12-05,2025-12-04,100,Delivered,Air Express,TRK-2025-0009
SHP-010,PRD-007,SUP-107,2025-12-01,2025-12-06,,1000,Processing,Sea Freight,TRK-2025-0010
SHP-011,PRD-009,SUP-109,2025-11-10,2025-12-05,2025-12-06,30,Delivered,Road Freight,TRK-2025-0011
SHP-012,PRD-012,SUP-103,2025-11-20,2025-12-04,2025-12-04,50,Delivered,Sea Freight,TRK-2025-0012
SHP-013,PRD-013,SUP-112,2025-12-01,2025-12-08,,300,In Transit,Air Freight,TRK-2025-0013
SHP-014,PRD-014,SUP-113,2025-11-28,2025-12-10,,40,In Transit,Road Freight,TRK-2025-0014
SHP-015,PRD-015,SUP-114,2025-11-15,2025-12-01,2025-12-02,60,Delivered,Sea Freight,TRK-2025-0015
